0.9,0.7,8,1,0.75,0.65,0.35,0.45,0.05,0.15,0.3,0.3,0.35,0.6,0.1,0.15,0.35,0.85,0.75,0.5,0.7,0.35,0.3, 0.6262135922330097
0.75,0.8,0,1,0.25,0.35,0.5,0.9,0.7,0.7,0.7,0.5,0.15,1.0,1.0,0.55,0.8,0.65,0.1,0.1,0.95,0.95,0.35, 0.7198228128460687
0.1,0.8,0,1,0.3,0.59,0.85,0.05,0.8,0.7,0.4,0.5,0.2,0.25,0.5,0.5,0.8,0.4,0.15,0.25,0.3,0.85,0.7, 0.6969696969696971
0.1,0.7,5,1,0.3,0.25,0.85,0.05,0.8,0.25,0.05,0.5,0.2,0.75,0.5,0.5,0.4,0.4,0.15,0.25,0.3,0.85,0.7, 0.7037037037037037
0.1,0.81,3,1,0.2,0.95,0.6,0.45,0.35,0.65,0.15,0.9,0.9,0.25,0.8,0.8,0.0,0.4,0.4,0.55,0.85,0.5,0.75, 0.7260416666666666
0.13,0.7,5,1,0.3,0.15,0.85,0.05,0.8,0.25,0.4,0.5,0.2,0.25,0.5,0.5,0.4,0.9,0.15,0.25,0.3,0.85,0.7, 0.6705685618729097
0.05,0.6,6,1,0.45,0.25,0.9,0.85,0.4,0.55,0.85,0.5,0.4,0.05,0.75,0.95,0.55,0.75,0.15,0.6,0.65,0.15,0.2, 0.7365591397849461
0.1,0.7,5,1,0.3,0.95,0.85,0.05,0.8,0.25,0.4,0.8,0.2,0.25,0.5,0.33,0.4,0.4,0.15,0.25,0.3,0.85,0.7, 0.7382588774341352
0.4,0.45,8,1,0.1,0.15,0.75,0.9,0.8,0.1,0.05,0.75,0.2,0.2,0.3,0.4,0.9,0.9,0.7,0.45,0.45,1.0,0.45, 0.6318984547461368
0.9,0.7,8,1,0.75,0.65,0.35,0.45,0.05,0.15,0.3,0.3,0.35,0.6,0.1,0.15,0.35,0.85,0.75,0.5,0.7,0.35,0.3, 0.6130760986066451
0.75,0.8,0,1,0.25,0.35,0.5,0.9,0.7,0.7,0.7,0.5,0.15,1.0,1.0,0.55,0.8,0.65,0.1,0.1,0.95,0.95,0.35, 1.0328554360812425
0.75,0.7,5,1,0.25,0.35,0.19,0.9,0.7,0.25,0.7,0.5,0.15,1.0,1.0,0.55,0.4,0.65,0.1,0.1,0.95,0.95,0.35, 0.6541394335511982
